2020-09-10 08:27:40.866002: LOGGING STARTED
-1.19,6.68,6.94
-1.31,6.16,7.73
-0.23,6.36,7.45
-0.45,6.09,7.77
-1.40,6.66,7.46
-1.80,7.08,6.61
-1.77,6.21,7.53
-1.37,6.79,6.90
-1.09,7.56,6.03
-0.85,8.03,5.53
-1.05,7.93,5.58
-0.96,7.75,5.85
-0.86,7.38,5.55
-1.19,6.83,6.58
-0.95,6.61,7.03
-0.61,6.18,7.59
-0.40,6.33,7.43
-0.86,7.35,7.50
-1.15,6.34,7.40
-0.50,6.24,7.64
-0.04,6.35,7.62
-0.25,6.73,7.17
-0.93,7.16,6.53
-1.42,7.08,6.61
-1.20,7.32,6.30
-1.17,7.21,6.47
-1.16,7.00,6.70
-1.17,7.07,6.62
-1.02,7.46,6.19
-1.10,7.27,6.38
-1.08,7.35,6.31
-1.07,7.39,6.25
-1.07,7.39,6.25
-1.06,7.39,6.26
-1.06,7.39,6.25
-1.06,7.39,6.25
-1.06,7.39,6.25
-1.16,7.25,6.40
-1.19,7.29,6.36
-1.26,7.10,6.55
-0.67,7.48,6.21
-0.98,7.35,6.33
-1.23,7.06,6.62
-0.57,7.52,6.17
-0.54,7.73,5.93
-0.96,7.63,5.98
-1.27,7.89,5.63
-1.30,7.25,6.37
-1.07,6.80,6.93
-1.05,7.22,6.45
-1.14,7.28,6.38
-1.30,7.02,6.66
-1.02,7.30,6.36
-0.90,7.44,6.24
-0.95,7.39,6.27
-0.95,7.61,6.02
-1.14,7.15,6.54
-1.02,7.43,6.20
-1.06,7.30,6.37
-1.06,7.25,6.43
-0.91,7.41,6.26
-0.91,7.45,6.21
-1.04,7.51,6.11
-1.01,7.39,6.27
-0.92,7.54,6.08
-1.02,7.36,6.31
-1.02,7.36,6.30
-1.01,7.36,6.30
-1.01,7.36,6.30
-1.01,7.36,6.30
-1.01,7.36,6.30
-1.01,7.36,6.30
-1.01,7.36,6.29
-1.01,7.36,6.30
-1.02,7.36,6.30
-1.02,7.36,6.30
-1.01,7.36,6.29
-1.03,7.36,6.30
